indicator_id,profile,source_level,required_variables,optional_variables,derived_inputs,rule_status,rule_summary_es,main_risks,official_alignment_status
ipm_i01_inasistencia_basica_bach,enemdu_2025_anual,person,id_hogar;p03;p07;p10a;p10b,area,none,conceptual_contract_only,Contrato conceptual para identificar inasistencia escolar en poblacion aplicable sin codificar reglas operativas,Applicable ages and school-cycle equivalence must be confirmed. Non-applicable children must not be treated as deprived,pending_real_data_validation
ipm_i02_no_acceso_superior_economico,enemdu_2025_anual,person,id_hogar;p03;p07;p10a;p10b,reason_not_attending_variable_pending_review,none,conceptual_contract_only,Contrato conceptual para identificar no acceso a educacion superior por razones economicas sin codificar reglas operativas,Reason-for-nonattendance variable and higher-education universe must be confirmed,pending_real_data_validation
ipm_i03_logro_educativo_incompleto,enemdu_2025_anual,person,id_hogar;p03;p07;p10a;p10b,area,years_schooling_pending_review,conceptual_contract_only,Contrato conceptual para identificar logro educativo incompleto sin codificar umbrales ni equivalencias,"Schooling equivalence, attendance status, and age threshold must be audited against official methodology",pending_real_data_validation
ipm_i04_empleo_infantil_adolescente,enemdu_2025_anual,person,id_hogar;p03;condact,child_labor_detail_variables_pending_review,labor_flags_pending_review,conceptual_contract_only,Contrato conceptual para identificar empleo infantil y adolescente sin reconstruir condact desde preguntas crudas,Child labor definition must be reviewed. Existing labor flags may not cover all IPM age and activity rules,pending_real_data_validation
ipm_i05_desempleo_empleo_inadecuado,enemdu_2025_anual,person,id_hogar;p03;condact,secemp,labor_flags_pending_review,conceptual_contract_only,Contrato conceptual para identificar desempleo o empleo inadecuado usando clasificacion laboral consolidada pendiente de mapeo IPM,Must respect consolidated condact and validated labor flags. Do not reconstruct labor status from raw questionnaire items,pending_real_data_validation
ipm_i06_no_contribucion_pensiones,enemdu_2025_anual,person,id_hogar;p03;condact,pension_contribution_variable_pending_review,labor_flags_pending_review,conceptual_contract_only,Contrato conceptual para identificar no contribucion al sistema de pensiones sin codificar elegibilidad ni excepciones,Contribution variable and eligible population must be confirmed before implementation,pending_real_data_validation
ipm_i07_pobreza_extrema_ingresos,enemdu_2025_anual,household_repeated_person,ingtot_pc;linea_pobreza_extrema,period,expobre,conceptual_contract_only,Contrato conceptual para usar pobreza extrema por ingresos como privacion IPM despues de resolver lineas auditables,Must not compute income poverty without explicit auditable poverty lines. Non-positive income policy must remain explicit,pending_real_data_validation
ipm_i08_sin_agua_red_publica,enemdu_2025_anual,household,id_hogar;vi10,vi10a,none,conceptual_contract_only,Contrato conceptual para identificar hogares sin servicio de agua por red publica sin fijar codigos operativos,IPM water rule may differ from NBI basic-services rule. Public-network definition must be verified,pending_real_data_validation
ipm_i09_hacinamiento,enemdu_2025_anual,household,id_hogar;p01;hsize;vi07,,none,conceptual_contract_only,Contrato conceptual para identificar hacinamiento sin confirmar umbral operativo IPM,Household-size and bedroom definitions must be verified for IPM. Household repetition must preserve person-level analysis,pending_real_data_validation
ipm_i10_deficit_habitacional,enemdu_2025_anual,household,id_hogar;vi04a;vi05a,additional_housing_quality_variables_pending_review,none,conceptual_contract_only,Contrato conceptual para identificar deficit habitacional sin codificar materiales ni deficit cualitativo o cuantitativo,Housing deficit may require variables beyond NBI housing quality. Official coding review is required,pending_real_data_validation
ipm_i11_sin_saneamiento_excretas,enemdu_2025_anual,household,id_hogar;area;vi09,,none,conceptual_contract_only,Contrato conceptual para identificar hogares sin saneamiento de excretas sin fijar codigos operativos,IPM sanitation rule is area-specific. Urban and rural excreta-disposal thresholds must be verified separately,pending_real_data_validation
ipm_i12_sin_recoleccion_basura,enemdu_2025_anual,household,id_hogar,garbage_collection_variable_pending_review,none,conceptual_contract_only,Contrato conceptual para identificar hogares sin servicio de recoleccion de basura sin fijar variable operativa,Garbage collection source variable and service categories must be confirmed in official dictionaries,pending_real_data_validation
